Tick;Step;DateTime;ID
56;56;2021-01-01T11:00:56.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
56;56;2021-01-01T11:00:56.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
57;57;2021-01-01T11:00:57.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
57;57;2021-01-01T11:00:57.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
57;57;2021-01-01T11:00:57.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
58;58;2021-01-01T11:00:58.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
58;58;2021-01-01T11:00:58.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
58;58;2021-01-01T11:00:58.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
59;59;2021-01-01T11:00:59.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
59;59;2021-01-01T11:00:59.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
59;59;2021-01-01T11:00:59.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
60;60;2021-01-01T11:01:00.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
60;60;2021-01-01T11:01:00.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
60;60;2021-01-01T11:01:00.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
61;61;2021-01-01T11:01:01.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
61;61;2021-01-01T11:01:01.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
61;61;2021-01-01T11:01:01.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
62;62;2021-01-01T11:01:02.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
62;62;2021-01-01T11:01:02.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
62;62;2021-01-01T11:01:02.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
63;63;2021-01-01T11:01:03.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
63;63;2021-01-01T11:01:03.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
63;63;2021-01-01T11:01:03.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
64;64;2021-01-01T11:01:04.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
64;64;2021-01-01T11:01:04.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
64;64;2021-01-01T11:01:04.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
65;65;2021-01-01T11:01:05.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
65;65;2021-01-01T11:01:05.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
65;65;2021-01-01T11:01:05.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
66;66;2021-01-01T11:01:06.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
66;66;2021-01-01T11:01:06.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
66;66;2021-01-01T11:01:06.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
67;67;2021-01-01T11:01:07.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
67;67;2021-01-01T11:01:07.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
67;67;2021-01-01T11:01:07.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
68;68;2021-01-01T11:01:08.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
68;68;2021-01-01T11:01:08.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
68;68;2021-01-01T11:01:08.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
69;69;2021-01-01T11:01:09.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
69;69;2021-01-01T11:01:09.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
69;69;2021-01-01T11:01:09.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
70;70;2021-01-01T11:01:10.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
70;70;2021-01-01T11:01:10.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
70;70;2021-01-01T11:01:10.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
71;71;2021-01-01T11:01:11.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
71;71;2021-01-01T11:01:11.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
71;71;2021-01-01T11:01:11.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
